id1,id2
82,328
33,36
60,300
255,256
42,295
2,130
151,155
33,38
135,305
56,60
323,324
113,213
189,397
146,228
25,237
57,299
78,157
174,228
175,227
52,293
143,258
296,318
170,221
30,189
68,173
2,127
1,3
141,227
7,126
149,164
344,369
83,304
123,166
13,117
80,158
51,390
124,167
267,268
171,227
325,358
47,136
122,169
85,303
14,206
1,126
21,239
279,281
153,239
125,168
340,364
77,139
66,173
191,195
83,134
78,156
345,390
166,223
176,374
163,227
200,276
57,108
169,224
78,158
161,229
175,228
56,301
84,131
3,130
12,206
253,378
46,140
43,86
171,226
61,64
18,93
89,98
34,40
2,243
42,87
52,390
148,226
114,212
51,293
111,259
45,88
1,127
45,97
53,293
148,164
58,109
44,98
21,23
79,159
126,362
47,78
150,228
25,240
158,159
280,368
140,153
