id1,id2
193,195
32,34
171,174
26,27
52,55
142,144
31,32
86,87
28,186
46,48
161,163
299,301
76,79
132,133
99,383
76,140
102,104
64,65
48,78
49,77
81,328
116,118
46,50
129,362
50,78
2,4
129,130
317,318
82,305
148,149
197,200
88,89
247,250
192,195
163,165
12,14
181,185
255,257
126,127
48,49
2,3
34,38
213,214
316,318
209,210
317,353
12,13
22,23
121,124
169,170
42,383
152,236
56,58
128,129
111,113
252,323
41,45
246,249
311,314
161,162
12,207
187,190
276,277
1,5
198,199
124,399
72,74
184,185
26,28
43,44
142,145
315,387
208,209
46,49
311,313
273,274
113,115
126,130
187,189
214,215
